observation_date,GDPA
1929-01-01,104.556
1930-01-01,92.160
1931-01-01,77.391
1932-01-01,59.522
1933-01-01,57.154
1934-01-01,66.800
1935-01-01,74.241
1936-01-01,84.830
1937-01-01,93.003
1938-01-01,87.352
1939-01-01,93.437
1940-01-01,102.899
1941-01-01,129.309
1942-01-01,165.952
1943-01-01,203.084
1944-01-01,224.447
1945-01-01,228.007
1946-01-01,227.535
1947-01-01,249.616
1948-01-01,274.468
1949-01-01,272.475
1950-01-01,299.827
1951-01-01,346.914
1952-01-01,367.341
1953-01-01,389.218
1954-01-01,390.549
1955-01-01,425.478
1956-01-01,449.353
1957-01-01,474.039
1958-01-01,481.229
1959-01-01,521.654
1960-01-01,542.382
1961-01-01,562.209
1962-01-01,603.922
1963-01-01,637.450
1964-01-01,684.460
1965-01-01,742.289
1966-01-01,813.414
1967-01-01,859.959
1968-01-01,940.651
1969-01-01,1017.615
1970-01-01,1073.303
1971-01-01,1164.850
1972-01-01,1279.110
1973-01-01,1425.376
1974-01-01,1545.243
1975-01-01,1684.904
1976-01-01,1873.412
1977-01-01,2081.826
1978-01-01,2351.599
1979-01-01,2627.333
1980-01-01,2857.307
1981-01-01,3207.041
1982-01-01,3343.789
1983-01-01,3634.038
1984-01-01,4037.613
1985-01-01,4338.979
1986-01-01,4579.631
1987-01-01,4855.215
1988-01-01,5236.438
1989-01-01,5641.580
1990-01-01,5963.144
1991-01-01,6158.129
1992-01-01,6520.327
1993-01-01,6858.559
1994-01-01,7287.236
1995-01-01,7639.749
1996-01-01,8073.122
1997-01-01,8577.552
1998-01-01,9062.817
1999-01-01,9631.172
2000-01-01,10250.952
2001-01-01,10581.929
2002-01-01,10929.108
2003-01-01,11456.450
2004-01-01,12217.196
2005-01-01,13039.197
2006-01-01,13815.583
2007-01-01,14474.228
2008-01-01,14769.862
2009-01-01,14478.067
2010-01-01,15048.971
2011-01-01,15599.732
2012-01-01,16253.970
2013-01-01,16880.683
2014-01-01,17608.138
2015-01-01,18295.019
2016-01-01,18804.913
2017-01-01,19612.102
2018-01-01,20656.516
2019-01-01,21539.982
2020-01-01,21354.105
2021-01-01,23681.171
2022-01-01,26006.893
2023-01-01,27720.709
2024-01-01,29184.890
